customer_id,signup_date,region,plan_type,tenure_months,monthly_fee_gbp,support_tickets_90d,last_login_days,nps_score,churned_90d
429,2024-01-02,South,Standard,33,22.09,2,14,32.0,0
430,2024-02-16,North,Basic,8,12.07,1,10,8.0,0
431,2024-06-30,North,Standard,27,19.79,0,4,22.0,0
432,2024-01-07,Midlands,Basic,5,11.6,0,5,39.0,1
433,2024-10-07,Wales,Basic,2,10.94,0,28,11.0,1
434,2024-03-28,North,Standard,35,20.51,2,13,7.0,0
435,2024-07-25,South,Premium,31,32.62,4,36,16.0,0
436,2024-04-05,North,Basic,7,12.83,0,18,10.0,0
437,2024-03-23,Midlands,Basic,29,12.52,1,7,11.0,0
438,2024-06-30,Midlands,Basic,30,11.35,0,5,27.0,1
439,2024-07-08,North,Standard,4,20.41,0,10,19.0,0
440,2024-02-01,Wales,Standard,33,22.09,1,5,22.0,0
441,2024-11-28,Midlands,Standard,12,20.51,0,44,13.0,1
442,2024-06-11,Midlands,Standard,21,22.4,1,9,-2.0,0
443,2024-10-30,North,Basic,19,14.3,0,3,30.0,0
444,2024-08-09,North,Basic,15,12.31,3,21,-3.0,0
445,2024-03-17,South,Standard,36,20.07,1,5,28.0,1
446,2024-05-20,Wales,Basic,20,13.39,0,33,5.0,1
447,2024-06-09,South,Basic,7,10.43,0,5,17.0,1
448,2024-12-20,North,Standard,36,19.01,2,27,12.0,0
449,2024-08-14,North,Premium,21,33.83,1,17,28.0,0
450,2024-03-13,South,Premium,33,30.88,3,10,10.0,0
451,2024-10-26,Midlands,Basic,32,11.08,0,5,24.0,0
452,2024-08-02,Midlands,Standard,29,20.17,0,16,33.0,0
453,2024-02-04,Scotland,Premium,17,30.49,8,6,-8.0,0
454,2024-03-23,Midlands,Basic,30,11.9,1,15,19.0,1
455,2024-07-19,South,Standard,5,20.92,3,17,20.0,0
456,2024-10-24,North,Standard,11,19.54,1,13,14.0,0
457,2024-12-07,South,Basic,3,11.97,0,15,27.0,0
458,2024-07-21,South,Basic,27,12.78,0,6,12.0,0
459,2024-04-23,North,Premium,6,31.61,0,22,23.0,0
460,2024-04-02,South,Premium,14,32.97,3,20,19.0,0
461,2024-10-20,South,Standard,6,19.12,2,9,24.0,1
462,2024-06-28,North,Basic,14,11.77,2,12,8.0,0
463,2024-06-21,North,Premium,35,31.38,4,4,14.0,0
464,2024-09-13,South,Standard,5,17.64,0,30,22.0,0
465,2024-06-10,South,Basic,15,13.72,3,6,3.0,0
466,2024-08-20,South,Premium,14,30.12,0,17,36.0,0
467,2024-12-02,South,Basic,2,11.06,0,14,43.0,0
468,2024-07-04,Scotland,Basic,8,11.39,0,18,28.0,0
469,2024-12-19,North,Premium,18,29.94,3,18,1.0,0
470,2024-09-16,South,Basic,35,12.56,0,4,27.0,0
471,2024-05-24,South,Standard,9,19.38,2,1,5.0,0
472,2024-04-05,North,Premium,35,31.83,1,7,24.0,0
473,2024-12-25,North,Standard,36,21.63,1,9,18.0,0
474,2024-06-14,Midlands,Basic,1,12.71,2,13,4.0,0
475,2024-02-25,Midlands,Standard,19,18.69,1,8,17.0,0
476,2024-03-13,Scotland,Premium,13,30.72,2,16,13.0,1
477,2024-04-19,North,Basic,2,12.9,0,5,13.0,0
478,2024-01-06,North,Basic,15,11.01,0,15,30.0,0
479,2024-02-22,South,Standard,36,20.23,3,14,17.0,0
480,2024-04-12,North,Basic,25,9.61,1,14,35.0,0
481,2024-06-24,Midlands,Basic,10,10.63,2,4,16.0,1
482,2024-06-08,North,Premium,9,34.95,4,41,7.0,1
483,2024-10-13,Scotland,Standard,29,20.4,3,32,-3.0,0
484,2024-12-24,Midlands,Standard,27,20.89,1,23,12.0,0
485,2024-03-01,South,Standard,14,20.14,0,11,30.0,0
486,2024-05-26,Midlands,Basic,3,12.89,0,19,20.0,0
487,2024-06-22,Scotland,Premium,12,33.76,1,11,24.0,0
488,2024-02-10,North,Basic,8,11.38,0,8,24.0,0
489,2024-02-01,South,Basic,18,12.8,3,6,8.0,0
490,2024-12-16,Midlands,Basic,14,12.91,2,23,11.0,0
491,2024-07-01,Midlands,Basic,3,12.91,1,11,3.0,0
492,2024-12-13,Wales,Standard,8,21.71,2,16,12.0,0
493,2024-07-23,Midlands,Basic,27,13.05,0,8,18.0,0
494,2024-08-01,South,Basic,9,12.99,0,6,27.0,0
495,2024-11-27,North,Standard,31,23.06,3,54,11.0,1
496,2024-06-09,South,Basic,25,14.9,0,11,26.0,0
497,2024-06-20,Wales,Standard,4,21.28,2,3,15.0,0
498,2024-07-31,North,Standard,27,17.8,1,11,24.0,0
499,2024-09-12,Scotland,Standard,6,18.68,5,10,,0
500,2024-12-22,South,Standard,35,21.51,0,4,24.0,0
501,2024-01-02,Scotland,Basic,32,10.62,0,18,15.0,0
502,2024-09-12,South,Standard,27,21.22,1,11,19.0,0
503,2024-02-25,Midlands,Standard,17,21.22,2,25,31.0,0
504,2024-07-14,Midlands,Premium,21,29.33,4,11,7.0,0
505,2024-09-09,South,Basic,14,11.7,0,18,32.0,0
506,2024-03-26,South,Basic,19,11.37,0,13,33.0,0
507,2024-04-15,Scotland,Premium,5,30.53,2,12,30.0,0
508,2024-03-30,Scotland,Standard,22,18.83,3,11,21.0,0
509,2024-07-13,South,Premium,3,31.76,2,22,24.0,0
510,2024-03-24,South,Standard,15,22.78,2,13,27.0,0
511,2024-07-04,Midlands,Basic,10,15.03,0,9,26.0,0
512,2024-03-03,Midlands,Basic,13,11.18,1,6,9.0,0
513,2024-11-22,North,Basic,34,13.12,1,26,23.0,0
514,2024-02-01,South,Standard,2,19.03,1,7,26.0,0
515,2024-01-13,South,Basic,32,11.87,1,28,30.0,0
516,2024-07-03,South,Standard,16,21.6,1,8,27.0,0
517,2024-03-25,Scotland,Basic,2,11.96,1,0,14.0,0
518,2024-09-28,North,Basic,33,10.36,2,27,-1.0,0
519,2024-04-30,Wales,Standard,10,18.71,0,7,36.0,0
520,2024-06-07,South,Standard,21,19.2,2,8,9.0,0
521,2024-02-10,Midlands,Basic,8,13.38,0,29,32.0,1
522,2024-05-31,South,Basic,8,12.53,0,14,19.0,0
523,2024-10-21,Scotland,Basic,35,9.62,1,17,12.0,0
524,2024-05-14,South,Standard,16,18.6,1,3,29.0,0
525,2024-06-14,Scotland,Standard,20,18.87,2,4,18.0,0
526,2024-02-29,North,Basic,10,14.3,0,3,22.0,0
527,2024-06-11,North,Basic,22,9.42,0,6,21.0,0
528,2024-11-11,North,Premium,8,31.01,0,21,28.0,0
529,2024-12-23,South,Basic,11,11.85,2,4,18.0,0
530,2024-04-29,South,Premium,28,30.74,3,21,5.0,0
531,2024-01-22,Scotland,Basic,2,10.67,1,8,16.0,0
532,2024-11-13,South,Standard,1,18.94,0,22,21.0,0
533,2024-12-10,Scotland,Standard,12,19.22,0,8,18.0,0
534,2024-07-03,Wales,Standard,31,19.04,2,5,2.0,0
535,2024-10-17,North,Standard,10,18.25,0,16,4.0,1
536,2024-05-26,South,Premium,16,31.32,2,4,36.0,0
537,2024-05-05,South,Basic,12,14.03,0,1,22.0,1
538,2024-12-15,Midlands,Premium,26,31.43,2,12,,1
539,2024-01-31,South,Basic,8,10.75,0,15,26.0,0
540,2024-09-09,Wales,Basic,33,11.78,0,2,23.0,0
541,2024-09-28,South,Standard,5,18.37,0,5,23.0,0
542,2024-08-01,North,Premium,26,32.46,4,6,18.0,0
543,2024-11-24,Scotland,Premium,11,33.99,3,13,15.0,0
544,2024-08-24,Midlands,Standard,31,19.16,1,10,12.0,0
545,2024-04-29,Scotland,Basic,24,10.31,1,12,8.0,0
546,2024-06-30,North,Premium,33,31.41,2,23,34.0,0
547,2024-01-29,South,Basic,19,12.68,1,24,15.0,0
548,2024-07-22,South,Basic,23,11.73,1,22,5.0,0
549,2024-07-25,Midlands,Premium,10,31.11,4,15,8.0,0
550,2024-12-30,North,Basic,12,11.41,1,1,,0
551,2024-09-25,North,Standard,5,21.05,0,17,5.0,0
552,2024-01-09,North,Standard,23,20.84,2,5,21.0,1
553,2024-10-17,Wales,Standard,27,19.91,1,11,1.0,0
554,2024-09-24,Midlands,Standard,27,17.04,2,17,25.0,0
555,2024-11-24,Wales,Basic,9,10.38,1,13,34.0,0
556,2024-12-19,South,Standard,23,21.15,2,28,6.0,0
557,2024-05-01,North,Basic,3,14.2,2,38,10.0,1
558,2024-04-04,North,Standard,31,18.48,3,19,14.0,0
559,2024-02-23,North,Basic,17,11.11,2,8,5.0,0
560,2024-09-19,Midlands,Basic,15,11.35,0,6,14.0,0
561,2024-02-26,Midlands,Basic,13,14.66,0,8,25.0,0
562,2024-06-13,Midlands,Standard,18,18.4,2,4,18.0,0
563,2024-04-13,Wales,Standard,15,21.32,2,7,20.0,0
564,2024-04-26,Midlands,Basic,6,9.89,3,9,10.0,0
565,2024-09-19,Midlands,Basic,16,11.54,0,41,23.0,0
566,2024-04-03,Midlands,Standard,27,21.26,1,28,22.0,0
567,2024-09-23,Wales,Basic,18,11.79,0,13,13.0,0
568,2024-02-07,Midlands,Basic,9,10.93,4,3,-10.0,0
569,2024-06-29,North,Premium,5,32.38,3,11,13.0,1
570,2024-05-10,North,Standard,25,19.1,1,19,13.0,0
571,2024-07-15,North,Premium,31,32.1,3,51,14.0,0
572,2024-12-08,Midlands,Standard,11,19.29,0,13,28.0,0
573,2024-03-16,Midlands,Basic,36,11.36,0,15,34.0,0
574,2024-12-29,Midlands,Basic,10,14.53,2,23,23.0,0
575,2024-08-18,Scotland,Basic,34,10.62,0,28,-1.0,0
576,2024-03-10,North,Premium,23,32.55,1,6,21.0,0
577,2024-05-08,South,Standard,4,22.41,1,10,23.0,0
578,2024-03-23,Scotland,Basic,15,13.42,1,8,6.0,0
579,2024-02-10,Midlands,Premium,22,34.3,1,5,20.0,0
580,2024-10-01,Scotland,Basic,3,13.29,1,6,14.0,1
581,2024-12-20,Scotland,Premium,17,33.08,3,16,3.0,0
582,2024-01-12,Midlands,Basic,1,12.83,1,42,12.0,0
583,2024-06-12,North,Standard,1,17.47,1,16,17.0,0
584,2024-08-31,Midlands,Basic,33,9.56,0,5,20.0,0
585,2024-07-01,North,Standard,28,20.11,3,17,3.0,0
586,2024-04-09,South,Premium,34,31.22,1,12,20.0,1
587,2024-05-02,Midlands,Premium,23,31.71,4,4,20.0,0
588,2024-05-04,South,Premium,36,30.72,0,4,27.0,1
589,2024-06-30,Scotland,Basic,30,11.67,1,38,11.0,0
590,2024-09-03,South,Basic,20,8.62,0,5,30.0,0
591,2024-05-24,Midlands,Standard,1,18.66,1,20,28.0,0
592,2024-03-04,Midlands,Premium,9,33.02,3,4,8.0,0
593,2024-08-21,Midlands,Basic,16,12.47,1,11,18.0,0
594,2024-06-04,Scotland,Basic,23,9.27,0,14,22.0,0
595,2024-05-25,Scotland,Standard,25,19.88,0,17,28.0,0
596,2024-06-24,Midlands,Basic,12,14.24,1,27,24.0,1
597,2024-09-16,North,Basic,21,14.61,0,25,28.0,0
598,2024-06-17,Midlands,Basic,6,12.77,0,13,20.0,0
599,2024-08-25,South,Premium,16,29.49,3,43,14.0,1
600,2024-08-10,South,Premium,12,31.56,3,12,20.0,1
